DOI,Link
"10.1016/j.infsof.2009.08.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70450225064&doi=10.1016%2fj.infsof.2009.08.007&partnerID=40&md5=927f99cb9614f94eee2608a5363a36d3"
"10.5277/e-Inf170103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020026983&doi=10.5277%2fe-Inf170103&partnerID=40&md5=5c9108d36581248cf28c68b312106e7a"
"10.1002/1099-1689(200012)10:4<249::AID-STVR215>3.0.CO;2-C","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034478816&doi=10.1002%2f1099-1689%28200012%2910%3a4%3c249%3a%3aAID-STVR215%3e3.0.CO%3b2-C&partnerID=40&md5=772137ab266bf7bb0e8f515095fbd473"
